"no","time","temperature","humidity"
0,11:37:49,33.8,45.9
1,11:37:50,33.5,45.9
2,11:37:51,33.8,46.9
3,11:37:52,33.6,45.8
4,11:37:53,33.6,46.2
5,11:37:54,33.9,45.8
6,11:37:55,33.8,47.0
7,11:37:56,33.8,48.1
8,11:37:57,33.7,49.1
9,11:37:58,33.8,49.3
10,11:37:59,33.8,50.4
11,11:38:0,33.8,51.1
12,11:38:1,33.7,51.6
13,11:38:2,33.9,52.4
14,11:38:3,33.8,52.3
15,11:38:4,33.9,53.5
16,11:38:5,34.0,53.8
17,11:38:6,33.8,54.3
18,11:38:7,33.8,53.9
19,11:38:8,33.9,54.3
20,11:38:9,33.9,54.5
21,11:38:10,33.9,57.6
22,11:38:11,34.0,56.5
23,11:38:12,34.0,57.0
24,11:38:13,33.9,57.5
25,11:38:14,34.0,58.0
26,11:38:15,34.0,58.3
27,11:38:16,34.1,58.7
28,11:38:17,34.0,59.0
29,11:38:18,34.0,59.5
30,11:38:19,34.1,59.9
31,11:38:20,34.1,59.9
32,11:38:21,34.1,60.5
33,11:38:22,34.1,60.8
34,11:38:23,34.1,59.8
35,11:38:24,34.1,61.9
36,11:38:25,34.3,59.4
37,11:38:26,34.1,62.0
38,11:38:27,34.2,62.3
39,11:38:28,34.2,62.2
40,11:38:29,34.2,62.5
41,11:38:30,34.2,62.9
42,11:38:31,34.3,62.9
43,11:38:32,34.2,63.2
44,11:38:33,34.2,63.4
45,11:38:34,34.3,63.6
46,11:38:35,34.2,63.3
47,11:38:36,34.3,63.8
48,11:38:37,34.3,63.7
49,11:38:38,34.3,62.7
50,11:38:39,34.3,62.6
51,11:38:40,34.4,64.3
52,11:38:41,34.4,64.6
53,11:38:42,34.3,65.0
54,11:38:43,34.4,64.7
55,11:38:44,34.4,64.8
56,11:38:45,34.5,65.4
57,11:38:46,34.4,65.2
58,11:38:47,34.5,65.4
59,11:38:48,34.4,65.5
60,11:38:49,34.5,65.9
61,11:38:50,34.5,65.6
62,11:38:51,34.5,66.2
63,11:38:52,34.5,66.1
64,11:38:53,34.7,65.9
65,11:38:54,34.5,65.9
66,11:38:55,34.6,66.4
67,11:38:56,34.6,67.0
68,11:38:57,34.7,67.1
69,11:38:58,34.6,67.3
70,11:38:59,34.6,66.9
71,11:39:0,34.5,67.2
72,11:39:1,34.6,67.7
73,11:39:2,34.7,67.4
74,11:39:3,34.7,67.4
75,11:39:4,34.7,67.6
76,11:39:5,34.7,67.5
77,11:39:6,34.8,67.5
78,11:39:7,34.7,67.8
79,11:39:8,34.7,67.9
80,11:39:9,34.8,68.5
81,11:39:10,34.9,67.7
82,11:39:11,34.8,68.3
83,11:39:12,34.9,68.2
84,11:39:13,34.8,68.2
85,11:39:14,34.8,68.2
86,11:39:15,34.8,68.6
87,11:39:16,34.8,68.7
88,11:39:17,34.8,68.7
89,11:39:18,34.8,68.6
90,11:39:19,35.0,68.5
91,11:39:20,35.0,68.6
92,11:39:21,34.9,68.8
93,11:39:22,35.0,68.4
94,11:39:23,34.8,68.9
95,11:39:24,35.0,70.3
96,11:39:25,35.0,68.9
97,11:39:26,34.9,69.1
98,11:39:27,34.9,68.9
99,11:39:28,35.0,69.2
100,11:39:29,35.0,69.4
101,11:39:30,35.1,69.1
102,11:39:31,35.0,69.0
103,11:39:32,35.1,69.4
104,11:39:33,35.0,69.0
105,11:39:34,35.1,69.1
106,11:39:35,34.9,69.2
107,11:39:36,35.1,69.5
108,11:39:37,35.1,69.6
109,11:39:38,35.1,69.4
110,11:39:39,35.2,68.9
111,11:39:40,35.1,69.6
112,11:39:41,35.2,69.8
113,11:39:42,35.2,69.9
114,11:39:43,35.2,69.6
115,11:39:44,35.2,69.9
116,11:39:45,35.2,69.8
117,11:39:46,35.2,70.0
118,11:39:47,35.2,70.0
119,11:39:48,35.2,70.0
120,11:39:49,35.0,70.1
121,11:39:50,35.3,70.2
122,11:39:51,35.3,70.1
123,11:39:52,35.3,70.3
124,11:39:53,35.3,70.3
125,11:39:54,35.3,71.6
126,11:39:55,35.3,71.1
127,11:39:56,35.3,70.3
128,11:39:57,35.3,70.3
129,11:39:58,35.4,70.3
130,11:39:59,35.4,70.4
131,11:40:0,35.3,70.8
132,11:40:1,35.3,70.7
133,11:40:2,35.5,70.4
134,11:40:4,35.4,70.8
135,11:40:5,35.3,70.6
136,11:40:6,35.4,71.0
137,11:40:7,35.4,70.8
138,11:40:8,35.5,70.9
139,11:40:9,35.4,73.3
140,11:40:10,35.5,71.8
141,11:40:11,35.5,72.1
142,11:40:12,35.4,70.8
143,11:40:13,35.6,70.5
144,11:40:14,35.4,70.6
145,11:40:15,35.5,71.7
146,11:40:16,35.5,70.9
147,11:40:17,35.5,71.1
148,11:40:18,35.5,70.8
149,11:40:19,35.6,71.0
150,11:40:20,35.6,70.8
151,11:40:21,35.6,71.3
152,11:40:22,35.6,71.4
153,11:40:23,35.6,71.2
154,11:40:24,35.5,71.2
155,11:40:25,35.6,71.5
156,11:40:26,35.4,70.9
157,11:40:27,35.6,71.6
158,11:40:28,35.6,71.1
159,11:40:29,35.7,72.9
160,11:40:30,35.7,72.1
161,11:40:31,35.7,71.5
162,11:40:32,35.7,71.8
163,11:40:33,35.8,71.2
164,11:40:34,35.7,71.5
165,11:40:35,35.7,71.3
166,11:40:36,35.7,71.7
167,11:40:37,35.7,71.6
168,11:40:38,35.8,71.8
169,11:40:39,35.8,71.7
170,11:40:40,35.8,71.4
171,11:40:41,35.6,72.6
172,11:40:42,35.8,71.7
173,11:40:43,35.8,71.5
174,11:40:44,35.9,71.9
175,11:40:45,35.9,71.7
176,11:40:46,36.0,71.9
177,11:40:47,35.9,72.0
178,11:40:48,35.8,72.7
179,11:40:49,35.9,70.2
180,11:40:50,35.9,71.8
181,11:40:51,35.9,71.9
182,11:40:52,35.8,72.0
183,11:40:53,35.8,72.1
184,11:40:54,36.0,71.7
185,11:40:55,35.9,72.1
186,11:40:56,35.9,71.9
187,11:40:57,35.9,72.3
188,11:40:58,35.9,72.0
